polarity,id,date,query,user,text
0,2329170131,Thu Jun 25 10:25:59 PDT 2009,NO_QUERY,Keybaby718,why am tipsy at 1:30 in the afternoon. Thanks Theresa! Sad u r leaving 
0,2329170276,Thu Jun 25 10:26:00 PDT 2009,NO_QUERY,Keybaby718,why am tipsy at 1:30 in the afternoon. Thanks Theresa! Sad u r leaving 
0,2329170385,Thu Jun 25 10:26:00 PDT 2009,NO_QUERY,celhouston855,has a feeling the rest of the day is going to be crappy. 
0,2329170393,Thu Jun 25 10:26:00 PDT 2009,NO_QUERY,maryag,@JapanNewbie woohoo I'm all for slack time.. I'm goin crazy at work 
0,2329170631,Thu Jun 25 10:26:02 PDT 2009,NO_QUERY,ianbicknell,Scratch that.. No pool today 
0,2329170797,Thu Jun 25 10:26:02 PDT 2009,NO_QUERY,44ava_182,"@markhoppus  my girlfriend just dumped me, got anything cool 2 say 2 me? i've loved blink for years but not even &quot;down&quot; can stop the pain "
0,2329171365,Thu Jun 25 10:26:04 PDT 2009,NO_QUERY,MasterAbbott,It's 3:30 am and I can't sleep  I'm sad 
0,2329171642,Thu Jun 25 10:26:05 PDT 2009,NO_QUERY,vivzy,i said &quot;hello&quot; to a gal to chat wid her and she replies &quot;hi....i gotta go bye&quot; .... oh man wat a draag.... 
0,2329171699,Thu Jun 25 10:26:06 PDT 2009,NO_QUERY,BAny007,@djincredible @untouchableTQ all these hungry people...and no one thought of me ...  i'm a loser...that settles it lol
0,2329172005,Thu Jun 25 10:26:07 PDT 2009,NO_QUERY,crayolaphoenix,@Novablue ah honey.   so sorry you're sick.  xoxo.   ~slg
0,2329172020,Thu Jun 25 10:26:07 PDT 2009,NO_QUERY,heyimmikee,i just lost a follower...lame 
0,2329172236,Thu Jun 25 10:26:08 PDT 2009,NO_QUERY,hardkoreferrari,No farrah on my list 
0,2329172688,Thu Jun 25 10:26:10 PDT 2009,NO_QUERY,smidgeboxdesign,"@LovePaper oh no! that's my fear, i have no trust for the mail system. i'm always wondering...sorry for you "
0,2329173103,Thu Jun 25 10:26:12 PDT 2009,NO_QUERY,Vero_Alvarez,Dnt want to get up 
0,2329173489,Thu Jun 25 10:26:13 PDT 2009,NO_QUERY,beccygreenfield,So sad to hear about Farrah Fawcett 
0,2329173512,Thu Jun 25 10:26:13 PDT 2009,NO_QUERY,FirstLadyCfrank,"@houstonbeauty yea,not til September "
0,2329174450,Thu Jun 25 10:26:17 PDT 2009,NO_QUERY,DJCorco,@officialmgnfox Sorry about your day  Hope it gets better
0,2329174453,Thu Jun 25 10:26:17 PDT 2009,NO_QUERY,HaileyRhea,"Rest in peace, Farrah.. "
0,2329174580,Thu Jun 25 10:26:18 PDT 2009,NO_QUERY,sushieemee,Oh no! Farrah fawcett has passed away...  what a week
0,2329175007,Thu Jun 25 10:26:19 PDT 2009,NO_QUERY,seanferrell,"is still thinking he might be lucky enough to win a #squarespace iphone, but karma seems limited a hospital stay for my wife.  #facebook"
0,2329175109,Thu Jun 25 10:26:20 PDT 2009,NO_QUERY,meeshjibs,hopes farrah fawcett is kicking ass and catching bad guys with style in heaven as she did so well while she was here on earth 
0,2329175157,Thu Jun 25 10:26:20 PDT 2009,NO_QUERY,RacheLiz18,sadness...just read that Farrah Fawcett died today....she'll be missed 
0,2329175310,Thu Jun 25 10:26:21 PDT 2009,NO_QUERY,KendraLThomas,@QueenInMyCity yeah you can't do that if u leave ur phone on... 
0,2329175347,Thu Jun 25 10:26:21 PDT 2009,NO_QUERY,careyecanty,sitting in the parking lot back from lunch...i dont want to go inside  too perfect out for laying in the pool
0,2329175517,Thu Jun 25 10:26:22 PDT 2009,NO_QUERY,eliseispimpin,Home alone :/ im always such a loner 
0,2329175528,Thu Jun 25 10:26:22 PDT 2009,NO_QUERY,tedrien,oh man. :'( Farrah Fawcett died this morning. man...THE Charlie's Angel. I'm praying for her family. This is just....really sad. 
0,2329175802,Thu Jun 25 10:26:23 PDT 2009,NO_QUERY,QuickBlondie,Wow I can't believe Farrah Fawcett died  another one of my blonde icons has passed  Pammy Anderson u better take care of yourself!
0,2329175993,Thu Jun 25 10:26:24 PDT 2009,NO_QUERY,cyoon84,its storming 
0,2329176087,Thu Jun 25 10:26:24 PDT 2009,NO_QUERY,ourentropy,Farrah Fawcett succumbed to the ass-cancer. 
0,2329176298,Thu Jun 25 10:26:25 PDT 2009,NO_QUERY,Pohjilinggg,i'm so hungry right now 
0,2329176482,Thu Jun 25 10:26:26 PDT 2009,NO_QUERY,kinaton,wishes he could win a holiday for his familty 
0,2329176730,Thu Jun 25 10:26:27 PDT 2009,NO_QUERY,mixtapekisses,@TuesdayBlues HAHA SHUT UP WENNA. IT'S MAKING ME MISS YOU EVEN MORE 
0,2329176803,Thu Jun 25 10:26:27 PDT 2009,NO_QUERY,anticipating,"....I am being followed by 'trekkie shop', bitch I don't even like those kind of shows. "
0,2329176826,Thu Jun 25 10:26:27 PDT 2009,NO_QUERY,suchavoice,oh so sad about farrah fawcett's death. 
0,2329177127,Thu Jun 25 10:26:29 PDT 2009,NO_QUERY,mercuryeric,@sotwitty Not gonna happen today. 
0,2329177285,Thu Jun 25 10:26:29 PDT 2009,NO_QUERY,thesearemydays,@itsroomi  Hi girl! How are u? Oh u feel bad..  Why? Can i help u? ^^
0,2329177460,Thu Jun 25 10:26:30 PDT 2009,NO_QUERY,pluincee,and that should say habanero... the spanish n screwed it up 
0,2329177836,Thu Jun 25 10:26:32 PDT 2009,NO_QUERY,skate_away,i don't want to email any more CVs. i'm bored of emailing CVs. i feel crappy 
0,2329177844,Thu Jun 25 10:26:32 PDT 2009,NO_QUERY,Natalie1793,"Laying aroundd. I don't feel good, "
0,2329178170,Thu Jun 25 10:26:33 PDT 2009,NO_QUERY,puffypeach,Just lost $8 on the first round of poker playing 10/20c. 
0,2329178327,Thu Jun 25 10:26:34 PDT 2009,NO_QUERY,PdotERSONAL,@BAMbam_12 word  uggghh im doing well pretty anxious for this performance tonight.
0,2329178469,Thu Jun 25 10:26:34 PDT 2009,NO_QUERY,warprincessx,I just found out that Farrah Fawcett has passed away after her long battle with cancer. God bless her family!  
0,2329178530,Thu Jun 25 10:26:35 PDT 2009,NO_QUERY,rye_puma,R.I.P. my grandma(royice marcucci) 6.25.2009 at 12:12 central time 
0,2329178550,Thu Jun 25 10:26:35 PDT 2009,NO_QUERY,snapxitxout,"getting ready, work 2-10 tonight. "
0,2329178558,Thu Jun 25 10:26:35 PDT 2009,NO_QUERY,glennyd2000,Farrah Fawcett died at 9:30 this mornings. 
0,2329178603,Thu Jun 25 10:26:35 PDT 2009,NO_QUERY,KelseyyyMo,"heading to the dentist, this is gunna suck so bad. "
0,2329178910,Thu Jun 25 10:26:36 PDT 2009,NO_QUERY,julijackson,Farrah Fawcett has died  WE need to find a cure for cancer. Prayers to her family!
0,2329179227,Thu Jun 25 10:26:37 PDT 2009,NO_QUERY,terraces,"@eblerim yes, VM is down for more than 10 days now  But you should be able to e-mail me at my work address"
0,2329179316,Thu Jun 25 10:26:38 PDT 2009,NO_QUERY,ellekay12,@stixizza where r u friend??? i miss u 
0,2329179323,Thu Jun 25 10:26:38 PDT 2009,NO_QUERY,GCs_RIOT_GURL,"1.24 am....finished my assignment...CE-LE-BRATE GOOD TIMES COME ON! now, study for my test....no sleep at all for me tonight! goody  "
